"Age_cat","Year","Num_child","Add_child_1","Add_chl_pyy"
"30-34",2030,"0",0.748899999999994,0.149779999999999
"30-34",2031,"0",0.740799999999995,0.148159999999999
"30-34",2032,"0",0.732699999999995,0.146539999999999
"30-34",2033,"0",0.724599999999994,0.144919999999999
"30-34",2034,"0",0.716499999999994,0.143299999999999
"30-34",2035,"0",0.708399999999995,0.141679999999999
"30-34",2036,"0",0.700299999999995,0.140059999999999
"30-34",2037,"0",0.692199999999993,0.138439999999999
"30-34",2038,"0",0.684099999999994,0.136819999999999
"30-34",2039,"0",0.675999999999994,0.135199999999999
"30-34",2040,"0",0.667899999999993,0.133579999999999
"30-34",2020,"1",0.572199999999995,0.114439999999999
"30-34",2021,"1",0.561399999999995,0.112279999999999
"30-34",2022,"1",0.550599999999995,0.110119999999999
"30-34",2023,"1",0.539799999999995,0.107959999999999
"30-34",2024,"1",0.528999999999994,0.105799999999999
"30-34",2025,"1",0.519999999999996,0.103999999999999
"30-34",2026,"1",0.514399999999996,0.102879999999999
"30-34",2027,"1",0.508799999999996,0.101759999999999
"30-34",2028,"1",0.503199999999995,0.100639999999999
"30-34",2029,"1",0.497599999999994,0.0995199999999989
"30-34",2030,"1",0.491999999999995,0.098399999999999
"30-34",2031,"1",0.486399999999995,0.097279999999999
"30-34",2032,"1",0.480799999999995,0.0961599999999991
"30-34",2033,"1",0.475199999999996,0.0950399999999991
"30-34",2034,"1",0.469599999999995,0.0939199999999989
"30-34",2035,"1",0.464399999999997,0.0928799999999994
"30-34",2036,"1",0.462699999999997,0.0925399999999995
"30-34",2037,"1",0.460999999999997,0.0921999999999995
"30-34",2038,"1",0.459299999999997,0.0918599999999995
"30-34",2039,"1",0.457599999999998,0.0915199999999995
"30-34",2040,"1",0.455899999999997,0.0911799999999993
"30-34",2020,"2",0.249599999999995,0.0499199999999989
"30-34",2021,"2",0.237799999999995,0.047559999999999
"30-34",2022,"2",0.225999999999995,0.0451999999999989
"30-34",2023,"2",0.214199999999995,0.042839999999999
"30-34",2024,"2",0.202399999999994,0.0404799999999989
"30-34",2025,"2",0.192399999999996,0.0384799999999991
